"Relative Time","Hits"
"00:00","0.75"
"00:16","0.75"
"00:32","0.75"
"00:48","0.75"
"01:04","0.875"
"01:20","0.313"
"01:36","0.313"
"01:52","0.5"
"02:08","0.25"
"02:24","0.063"
"02:40","0"
"02:56","0.313"
"03:12","0.313"
"03:28","0.375"
"03:44","0.375"
"04:00","0.313"
"04:16","0.688"
"04:32","0.688"
"04:48","0.688"
"05:04","0.625"
"05:20","0.625"
"05:36","0.063"
"05:52","0.313"
"06:08","0.25"
"06:24","0.375"
"06:40","0.375"
"06:56","0.313"
"07:12","0.688"
"07:28","0.688"
"07:44","0.688"
"08:00","0.625"
"08:16","0.625"
"08:32","0"
"08:48","0.313"
"09:04","0.375"
"09:20","0.313"
"09:36","0.313"
"09:52","0.8"
