"Relative Time","Dynamic_ID_Transaction","Dynamic_Table_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:05","","","","1.775"
"00:20","","","","1.804"
"00:35","","","","1.707"
"00:50","","","","1.743"
"01:05","","","","1.729"
"02:50","","1.626","",""
"03:00","0.917","","",""
"03:05","","1.546","",""
"03:15","0.944","","",""
"03:20","","1.592","",""
"03:30","0.924","","",""
"03:35","","1.539","",""
"03:45","0.913","","",""
"03:50","","1.756","",""
"04:00","0.919","","",""
"05:45","","1.472","",""
"06:00","0.919","1.504","",""
"06:10","0.922","","",""
"06:15","","1.705","",""
"06:30","0.928","1.572","",""
"06:40","0.929","","",""
"06:50","","2.469","",""
"07:00","0.932","","",""
"08:40","","1.711","",""
"08:55","0.929","1.715","0",""
"09:10","0.917","1.831","0",""
"09:25","0.928","1.616","0",""
"09:40","0.953","","0",""
"09:45","","1.642","",""
"09:55","0.996","","0",""
