"Relative Time","Throughput"
"00:00","0"
"00:08","0"
"00:16","0"
"00:24","2388.5"
"00:32","0"
"00:40","0"
"00:48","0"
"00:56","1239.625"
"01:04","0"
"01:12","0"
"01:20","417.5"
"01:28","2485"
"01:36","0"
"01:44","0"
"01:52","0"
"02:00","1237.125"
"02:08","0"
"02:16","0"
"02:24","2901.25"
"02:32","0"
"02:40","0"
"02:48","0"
"02:56","0"
"03:04","1242.125"
"03:12","0"
"03:20","451"
"03:28","100.5"
"03:36","2386.5"
"03:44","0"
"03:52","0"
"04:00","0"
"04:08","0"
"04:16","1240.125"
"04:24","0"
"04:32","418.125"
"04:40","2483.5"
"04:48","0"
"04:56","0"
"05:04","0"
"05:12","0"
"05:20","1234.125"
"05:28","0"
"05:36","705.25"
