"Relative Time","Hits"
"00:00","0.75"
"00:08","0"
"00:16","0.75"
"00:24","0"
"00:32","2"
"00:40","0"
"00:48","2"
"00:56","1.25"
"01:04","1"
"01:12","2.25"
"01:20","0"
"01:28","0"
"01:36","0"
"01:44","1.75"
"01:52","2"
"02:00","0"
"02:08","1"
"02:16","1"
"02:24","2"
"02:32","0"
"02:40","2"
"02:48","0"
"02:56","2"
"03:04","0"
"03:12","2"
"03:20","1"
"03:28","1"
"03:36","0"
"03:44","2"
"03:52","2"
"04:00","0"
"04:08","0"
"04:16","1"
"04:24","3"
"04:32","0"
"04:40","0"
"04:48","0"
"04:56","0"
"05:04","0"
"05:12","3.25"
"05:20","0"
"05:28","0"
"05:36","4"
"05:44","0"
"05:52","0"
"06:00","0"
"06:08","4"
"06:16","0"
"06:24","0"
"06:32","0"
"06:40","3"
"06:48","0"
"06:56","0"
"07:04","0"
"07:12","2"
"07:20","0"
"07:28","0"
"07:36","0"
