"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","4.516"
"00:16","","","1.938"
"00:32","0.6","","1.851"
"00:48","0.605","","2.311"
"00:56","0.492","",""
"01:04","1","",""
"01:12","0.783","",""
"01:44","9.434","",""
"01:52","4.917","",""
"02:08","1.016","",""
"02:16","1.092","",""
"02:24","1.055","",""
"02:40","0.987","",""
"02:56","1.484","",""
"03:12","0.987","",""
"03:20","1.003","",""
"03:28","0.938","",""
"03:44","1.116","",""
"03:52","0.999","",""
"04:16","5.191","",""
"04:24","2.537","",""
"05:12","15.124","",""
"05:36","1.04","",""
"06:08","1.023","",""
"06:32","","0",""
"06:40","1.019","",""
"07:04","","0",""
"07:12","1.017","",""
"07:28","","0",""
